尋,尋,寻,尋著,寻着,尋著書,寻著书,尋著作,寻著作,尋著名,寻著名,尋著錄,寻著录,尋著稱,寻著称,尋著者,寻著者,尋著述,寻著述
對,對,对,對著,对着,對著書,对著书,對著作,对著作,對著名,对著名,對著錄,对著录,對著稱,对著称,對著者,对著者,對著述,对著述,對帳,对账
導,導,导
尒,尒,尔
尙,尙,尚
尟,尟,鲜
尠,尠,鲜
尷,尷,尴
屆,屆,届
屍,屍,尸
屓,屓,屃
屛,屛,屏
屜,屜,屉
屢,屢,屡
層,層,层
屨,屨,屦
屩,屩,𪨗
屬,屬,属
屭,屭,屃
岅,岅,坂
岡,岡,冈
峝,峝,峒
峴,峴,岘
島,島,岛
峽,峽,峡
崍,崍,崃
崑,崑,昆
崗,崗,岗
崙,崙,仑
崢,崢,峥
崬,崬,岽
嵐,嵐,岚
嵗,嵗,岁
嵼,嵼,𡶴
嵽,嵽,𫶇
嶁,嶁,嵝
嶃,嶃,崭
嶄,嶄,崭
嶇,嶇,岖
嶔,嶔,嵚
嶗,嶗,崂
嶠,嶠,峤
嶢,嶢,峣
嶧,嶧,峄
嶨,嶨,峃
嶮,嶮,崄
嶸,嶸,嵘
嶺,嶺,岭
嶼,嶼,屿
嶽,嶽,岳
巋,巋,岿
巒,巒,峦
巔,巔,巅
巖,巖,岩
巗,巗,岩
巘,巘,𪩘
巰,巰,巯
巵,巵,卮
帀,帀,匝
帋,帋,纸
帥,帥,帅
師,師,师
帬,帬,裙
帳,帳,帐,帳上,账上,帳冊,账册,帳務,账务,帳單,账单,帳號,账号,帳外,账外,帳戶,账户,帳房,账房,帳本,账本,帳款,账款,帳目,账目,帳簿,账簿,帳面,账面
帶,帶,带,帶著,带着,帶著書,带著书,帶著作,带著作,帶著名,带著名,帶著錄,带著录,帶著稱,带著称,帶著者,带著者,帶著述,带著述
幀,幀,帧
幃,幃,帏
幇,幇,帮
幑,幑,徽
幗,幗,帼
幘,幘,帻
幙,幙,幕
幚,幚,帮
幟,幟,帜
幣,幣,币
幫,幫,帮,幫著,帮着,幫著書,帮著书,幫著作,帮著作,幫著名,帮著名,幫著錄,帮著录,幫著稱,帮著称,幫著者,帮著者,幫著述,帮著述,幫浦,泵
幬,幬,帱
幹,幹,干,幹著,干着,幹著名,幹著名,幹著稱,幹著称
幾,幾,几,幾內亞比索,几内亚比绍
庫,庫,库,庫德人,库尔德人,庫德族,库尔德族
庻,庻,庶
庽,庽,寓
廁,廁,厕
廂,廂,厢
廄,廄,厩
廈,廈,厦
廎,廎,庼
廐,廐,厩
廕,廕,荫
廚,廚,厨
廝,廝,厮
廞,廞,𫷷
廟,廟,庙
廠,廠,厂
廡,廡,庑
廢,廢,废
廣,廣,广
廩,廩,廪
廬,廬,庐
廳,廳,厅
廵,廵,巡
廹,廹,迫
廻,廻,回
弒,弒,弑
弔,弔,吊
弳,弳,弪
張,張,张,張法乾,张法乾
強,強,强,強斯頓環礁,约翰斯顿岛
彄,彄,𫸩
彆,彆,别
彈,彈,弹
彌,彌,弥
彎,彎,弯
彙,彙,汇
彞,彞,彝
彠,彠,彟
彥,彥,彦
彫,彫,雕
彲,彲,彨
